epoch,train loss,val loss,swa
0.0,4.864571674386215,4.757313064659824,n
19.0,2.814616721672749,2.836113197022002,y
39.0,2.292682212743518,2.4651401543598426,y
59.0,2.06340264564361,2.357886314993386,y
79.0,1.8473933897150525,2.289654475122808,y
99.0,1.6889051460299747,2.2527343767926866,y
119.0,1.5323746856468015,2.217596656954397,y
139.0,1.3885821046738815,2.201944154087852,y
159.0,1.264380359299052,2.1846720001761875,y
179.0,1.1283132646849954,2.1640449607229764,y
199.0,1.0292271670999462,2.136297869053835,y
219.0,0.9269441124523852,2.139950228332643,y
239.0,0.855826584173571,2.1181188536899036,y
259.0,0.7901785827625988,2.1278546950177484,y
279.0,0.7445149400432157,2.1125692236265112,y
299.0,0.6892318338130078,2.1200121684255375,y
