epoch,train loss,val loss,swa
0.0,1.0067546823254447,0.9403650894680101,n
19.0,0.33335583008949393,0.40690794044538686,y
39.0,0.2190377873791379,0.36203836678000895,y
59.0,0.14416178956762699,0.34950205869972706,y
79.0,0.11057176907879734,0.3523104068944636,y
99.0,0.08850791122691304,0.306028279799806,y
119.0,0.07208468787608104,0.2762869553154577,y
139.0,0.05386055993031413,0.2824911004256295,y
159.0,0.04903934838567744,0.27457579192907916,y
179.0,0.039039714693978184,0.27135492836975533,y
199.0,0.0344060879408594,0.2938741745994143,y
