epoch,train loss,val loss,swa
0.0,121.32521693473926,125.64467669123633,n
19.0,33.83394802913109,42.15051778507364,y
39.0,24.042209911936684,37.7245926784846,y
59.0,18.308821147780414,36.689392478134806,y
79.0,14.26871259100768,36.40754138259153,y
99.0,11.164643165954896,36.21815405718398,y
119.0,9.30861708564882,36.30398829275181,y
139.0,7.732964956124483,36.81774609551305,y
159.0,6.777256114272779,36.48305249115788,y
179.0,6.036062600933764,36.58916150162604,y
199.0,5.502595102685129,36.48211570225523,y
219.0,5.143559834474384,36.66712451079525,y
239.0,4.933660204207479,36.169367007081085,y
259.0,4.569570170930097,35.88148516375556,y
279.0,4.083034779587714,36.31025016816151,y
