epoch,train loss,val loss,swa
0.0,30.634659698632607,30.045146893260295,n
19.0,13.067105339392684,14.78210801573406,y
39.0,9.05938451577089,13.021680478327747,y
59.0,5.926842850545385,12.884739020710875,y
79.0,4.012836791438312,12.720834753572428,y
99.0,3.012245456672828,12.61246253286713,y
119.0,2.3476621569575427,12.420325078776685,y
139.0,1.9248312616438041,12.39856626446648,y
159.0,1.6219604226815223,12.522597771202182,y
179.0,1.3987028908482435,12.368286542273287,y
199.0,1.2670119608467953,12.333000660392232,y
219.0,1.1579860332626384,12.422081370741642,y
239.0,1.0626907192629826,12.500713122237858,y
259.0,1.0059825597895145,12.520000849754132,y
