epoch,train loss,val loss,swa
0.0,28.14375924753152,28.66916725888049,n
19.0,9.32111955706152,11.698877472333107,y
39.0,6.560019116590692,10.625841719248271,y
59.0,4.728306957219436,10.448742238166735,y
79.0,3.543757593020415,10.15679678726721,y
99.0,2.698286550940225,9.984417252888214,y
119.0,2.2000134976922747,9.72386185175123,y
139.0,1.8671335109630025,9.562905235500414,y
159.0,1.616864429492006,9.579315093721288,y
179.0,1.4186749165120673,9.569304903074997,y
199.0,1.3473667530510371,9.60971114855193,y
219.0,1.2022090538427115,9.538796869563924,y
239.0,1.1299857559050919,9.48050923590155,y
259.0,1.0917832027695855,9.692362621365092,y
279.0,1.0260262544303387,9.67792472288402,y
299.0,0.9870374132987499,9.62953020224381,y
