epoch,train loss,val loss,swa
0.0,0.31966783108515184,0.30516062982824466,n
19.0,0.12415853624856187,0.17531367642990012,y
39.0,0.05690677982594999,0.1394850831421269,y
59.0,0.023921863936759418,0.14234237053799575,y
79.0,0.011484600461352064,0.1291610635405871,y
99.0,0.011499448071725801,0.11912712816634188,y
119.0,0.006798994005805887,0.12375241715387003,y
139.0,0.006041172273708685,0.11905610002166125,y
159.0,0.004776093454204584,0.12842707339238385,y
179.0,0.0048420115014354915,0.13363785525294591,y
