epoch,train loss,val loss,swa
0.0,224.7508420138889,202.6243115234375,n
19.0,167.06471354166666,195.981083984375,y
39.0,110.45907877604166,178.3224853515625,y
59.0,113.11621202256944,174.0526123046875,y
79.0,48.77066162109375,148.7689697265625,y
99.0,38.06115831163194,137.415380859375,y
119.0,46.627657877604165,122.187265625,y
139.0,31.426521809895835,119.70189697265624,y
159.0,24.368834092881944,101.24505859375,y
179.0,22.348724229600695,111.238056640625,y
199.0,16.359424913194445,116.577587890625,y
219.0,17.456436903211806,111.5255078125,y
