epoch,train loss,val loss,swa
0.0,0.27818405839910476,0.28137623614841895,n
19.0,0.07247658690082588,0.09038544377560989,y
39.0,0.05469756100488746,0.07922993679337788,y
59.0,0.04433673174086223,0.07970071645788333,y
79.0,0.03718660583065505,0.0798762576302625,y
99.0,0.03189529083644267,0.07888315827478462,y
119.0,0.027988369779841954,0.08034217944754983,y
139.0,0.025536783487103056,0.07930834560487676,y
159.0,0.023034196804997114,0.08014919341022518,y
179.0,0.02127403961376203,0.07947926473919698,y
199.0,0.019695909386095792,0.07840177372166637,y
219.0,0.01857133734983744,0.07864226596558699,y
239.0,0.017276705399803492,0.07890931317745815,y
259.0,0.016462293799505586,0.07839019703013557,y
279.0,0.01564355018944246,0.07822702890304926,y
299.0,0.01471601004185884,0.07824870507975328,y
