epoch,train loss,val loss,swa
0.0,0.46157540249348233,0.45794484741043445,n
19.0,0.12118515636801211,0.13164888275765174,y
39.0,0.08968855905931904,0.11448644677089719,y
59.0,0.06993875535909272,0.10763794603024766,y
79.0,0.057872592376565314,0.10430056617468637,y
99.0,0.047398508945957166,0.10209188815550406,y
119.0,0.039395321465517545,0.1040208554102707,y
139.0,0.03206755369726932,0.1018216913642758,y
159.0,0.027617513268849484,0.10334666975086078,y
179.0,0.0247503587422973,0.10299398375596552,y
