epoch,train loss,val loss,swa
0.0,56.16623457697971,57.61480002384135,n
19.0,10.962480571075147,15.420385464308733,y
39.0,7.261879417881605,14.517700832689085,y
59.0,5.32935642033344,14.318016670073204,y
79.0,4.063156606914289,14.353884446110955,y
99.0,3.316625178436403,14.268866725040205,y
119.0,2.9003003311387685,14.208913803844316,y
139.0,2.5181174077394766,14.102103200082048,y
159.0,2.2296909283984108,14.502343088441567,y
179.0,1.9963798858421757,14.453804224251426,y
199.0,1.8034904268693002,14.333652534480613,y
