epoch,train loss,val loss,swa
0.0,0.924019892697887,0.9367829803763743,n
19.0,0.1424945979811284,0.1477506460617971,y
39.0,0.10849558398245217,0.11690070111306868,y
59.0,0.09062271775611379,0.10383823603928899,y
79.0,0.08020792925362817,0.0970544024525534,y
99.0,0.07195365722947891,0.09304082360721189,y
119.0,0.0654116666310724,0.09018273986458157,y
139.0,0.059003193151275585,0.08854771187993392,y
159.0,0.05361211360171598,0.08735470535062928,y
179.0,0.04880996669069466,0.0864532064168939,y
199.0,0.04400790028103003,0.0855525633773374,y
219.0,0.04046481780033558,0.08478507620021984,y
239.0,0.03753156687856032,0.08502866779997689,y
259.0,0.03505721276202123,0.0847801355913863,y
279.0,0.03292758659657804,0.0844337311846716,y
299.0,0.03104409328307883,0.08454254343122439,y
