epoch,epoch_times,cumulative_times,mae_train,mse_train,r2_train,mae_val,mse_val,r2_val
0,0.1865222454071045,0.1865222454071045,30.17811987960477,1789.5559359381728,0.002949899403980716,30.309832672703074,1612.5783026958684,0.002136527705446478
1,0.21442580223083496,0.40094804763793945,29.949738868159123,1779.457315395242,0.008576340257829385,30.119933017328673,1605.559126051974,0.006479994293590252
2,0.18350934982299805,0.5844573974609375,29.625310344973244,1758.6379269337776,0.020175851031974834,29.85546720931024,1590.9365729546525,0.015528430318750286
3,0.18650126457214355,0.770958662033081,29.341562074438787,1720.054614780252,0.04167252207278971,29.634518345728278,1563.0196917256255,0.032803396745038294
4,0.18949365615844727,0.9604523181915283,28.17718914565039,1660.691691419561,0.07474654201250253,28.57986725874763,1519.4534319877023,0.059762198773003705
5,0.1825122833251953,1.1429646015167236,27.65378212749763,1562.5353952060193,0.12943426819555592,28.084109576096935,1459.93179152647,0.09659419057645224
6,0.1874992847442627,1.3304638862609863,26.095639748177003,1435.6197515983713,0.20014524888355245,26.611666100866653,1390.1680780915651,0.13976397725405798
7,0.1874983310699463,1.5179622173309326,23.82492542477757,1291.669430543995,0.28034709069569563,24.707499707552625,1333.6217952467114,0.1747548177301982
8,0.18450665473937988,1.7024688720703125,22.442162567169724,1162.6113375123484,0.35225173589611225,23.60531166519923,1343.3663721587639,0.16872487342470555
9,0.19248533248901367,1.8949542045593262,21.88027521940416,1086.7016443082034,0.39454477950848055,23.21065510307404,1382.2091885522884,0.14468893819269568
10,0.2094404697418213,2.1043946743011475,20.311951032377515,1037.3707528888804,0.42202945839690087,22.02470580556176,1348.469442132444,0.16556709366617484
11,0.18550395965576172,2.289898633956909,21.159421625978847,998.8400418395282,0.44349682276159885,22.795351858338783,1338.8667048902205,0.17150926758234253
12,0.18350958824157715,2.4734082221984863,20.446995927842288,955.253036483503,0.46778129870457696,22.29596330807171,1311.7646173695123,0.1882800396525317
13,0.18550419807434082,2.658912420272827,19.386806439527472,952.7059934007901,0.469200382350325,21.428680093849408,1285.2421362953485,0.20469215124691864
14,0.19250965118408203,2.851422071456909,20.692201009347542,933.118495247597,0.4801135461200996,22.642497342644315,1324.613398077828,0.18032921400213275
15,0.21642065048217773,3.067842721939087,18.773317533254694,895.1804471830559,0.501250708630383,21.053994428983984,1257.1039777808087,0.22210404406003237
16,0.18452906608581543,3.2523717880249023,18.67811670763805,865.9035021054086,0.517562342398628,21.009863274088943,1247.7501786946905,0.22789217504233272
17,0.1825118064880371,3.4348835945129395,18.633861944411716,853.1999140626843,0.5246401394551856,20.96766450135253,1218.4484760387948,0.24602406898352835
18,0.1874988079071045,3.622382402420044,18.414488881445344,841.3791793272568,0.5312260552795481,20.770281280319534,1203.9010457291124,0.25502601902683153
19,0.18350911140441895,3.805891513824463,18.679803801174856,834.2296852640745,0.5352093919452274,21.08078243335088,1221.0990369030749,0.2443839018901618
20,0.18350958824157715,3.98940110206604,18.10721166777958,841.9328400256143,0.530917583527474,20.564731054233782,1222.0014367095544,0.24382549687951138
21,0.18151354789733887,4.170914649963379,18.010721551478706,806.9141273754553,0.5504282399251907,20.432026793718762,1207.5115342417407,0.25279184869360305
22,0.18550395965576172,4.356418609619141,18.10529180950896,800.1343197670178,0.5542056059869398,20.457262464491865,1166.408591379857,0.2782263502102834
