epoch,epoch_times,cumulative_times,mae_train,mse_train,r2_train,mae_val,mse_val,r2_val
0,0.17057323455810547,0.17057323455810547,0.17550459114165667,0.05119051761419509,0.003959710096790747,0.1721615357058389,0.05024741203462781,0.002720669784543106
1,0.1735060214996338,0.34407925605773926,0.1743408256422745,0.050878135448157495,0.010037890934219695,0.17079125898224967,0.0498860065420733,0.009893620847228224
2,0.17054414749145508,0.5146234035491943,0.17306650370670323,0.050201198793285426,0.023209396388540693,0.1696537171091352,0.04923962433748354,0.022722612151541144
3,0.16755199432373047,0.6821753978729248,0.17138637359380365,0.049029462521695114,0.04600847305428013,0.16859332067625862,0.04819201372517219,0.04351493492932845
4,0.16356277465820312,0.8457381725311279,0.16612362449464074,0.0468250557175674,0.08890075261269437,0.16330542990139552,0.04591421037266668,0.088723356811509
5,0.19148826599121094,1.0372264385223389,0.1586300455511238,0.043443420540702014,0.1546989714800473,0.15620580230440412,0.04248544531978829,0.156775349480191
6,0.16456031799316406,1.201786756515503,0.14756368119741517,0.03862269951815437,0.2484982254948056,0.14534431440489634,0.037459623119525935,0.25652473745275994
7,0.1655571460723877,1.3673439025878906,0.13464473462850965,0.03298728863271358,0.35814932014405443,0.13372455154146468,0.03202650343038523,0.3643579122406
8,0.14860224723815918,1.5159461498260498,0.11831416941612914,0.02757363878408908,0.4634854959822756,0.11554060791219983,0.026537077884649766,0.47330861059190954
9,0.1625664234161377,1.6785125732421875,0.10609418105794848,0.02324437979025213,0.5477221199560032,0.10623513375009809,0.024437534134070762,0.5149790469497565
10,0.19547700881958008,1.8739895820617676,0.10194756185244519,0.022257256099440948,0.5669290944698387,0.10491355104105814,0.02565092267908083,0.4908964670424606
11,0.176499605178833,2.0504891872406006,0.09833647902782912,0.02139968696145129,0.5836152592641248,0.10161021436963763,0.02543139707411269,0.4952534744866828
12,0.18151473999023438,2.232003927230835,0.09157435257992695,0.019392744495362487,0.6226653734045577,0.09363742470741272,0.022118260078546014,0.5610105535094543
13,0.17054414749145508,2.40254807472229,0.08989901592408137,0.018359781639828595,0.6427642641764673,0.0908718398639134,0.020230308348979927,0.5984814432548455
14,0.1645793914794922,2.5671274662017822,0.09706136714861396,0.018714262202161658,0.635866953140617,0.10061077390398299,0.021210940122798505,0.5790184747360325
15,0.1715412139892578,2.73866868019104,0.09202375113519932,0.018632665490421176,0.6374546224240119,0.09158413410186768,0.019208405767442926,0.6187635290537785
16,0.1655580997467041,2.904226779937744,0.08946124260187505,0.01670302245931531,0.6750006816101651,0.09194955442632947,0.018396938001871633,0.6348690357251009
17,0.1934819221496582,3.0977087020874023,0.08419199146208216,0.015798950756635417,0.6925916707776758,0.08558741978236607,0.017137733299207574,0.6598609461863112
18,0.16755199432373047,3.265260696411133,0.08198519989559441,0.015469215851367587,0.6990074928076352,0.08331840549196516,0.016691122552664084,0.6687249980477877
19,0.16755199432373047,3.4328126907348633,0.08683318800435869,0.015494760990599469,0.6985104478650952,0.08981394299439022,0.017523878205134277,0.6521969826595269
20,0.157578706741333,3.5903913974761963,0.07946258586138798,0.015037621660088298,0.7074052434739257,0.080796765429633,0.016488792974816337,0.67274070945875
21,0.16851353645324707,3.7589049339294434,0.08210415328490574,0.014539488945729132,0.7170976684843537,0.08486085789544241,0.016665622465900753,0.6692311078834594
22,0.17553067207336426,3.9344356060028076,0.07660656366191927,0.014019608552821331,0.7272132492872188,0.07841214154447829,0.01564447530816001,0.689498200501509
23,0.16954636573791504,4.103981971740723,0.07755584269095818,0.013487579812620587,0.7375652067458291,0.080009925365448,0.0153933740728462,0.6944819013853964
24,0.15658140182495117,4.260563373565674,0.07560188454060902,0.013239545391625689,0.742391340336735,0.07805641889572143,0.014798943139274863,0.7062797962278778
25,0.1466081142425537,4.4071714878082275,0.07340600877867015,0.012966888718572156,0.7476965617787035,0.07587114700249263,0.014470740198070736,0.7127937637363582
26,0.14561152458190918,4.552783012390137,0.07566821003102332,0.012739882906748315,0.7521135308807316,0.07877724724156517,0.01478608898618532,0.7065349174503359
27,0.168548583984375,4.721331596374512,0.07256500170234419,0.012839873584686754,0.7501679607149437,0.0749058872461319,0.014494128421672059,0.7123295688450476
28,0.19248533248901367,4.913816928863525,0.07253866117508685,0.012135220871103086,0.7638787518112293,0.0758357937846865,0.014098663505068337,0.7201785101374365
29,0.16755223274230957,5.081369161605835,0.07319764344773953,0.01193615132941642,0.7677521505040666,0.07658889761992864,0.013910542254033638,0.723912223529519
30,0.16755247116088867,5.248921632766724,0.06993933512805649,0.011983441090808492,0.766832009238815,0.07222861307007926,0.01332499045032977,0.7355338909340376
31,0.14558100700378418,5.394502639770508,0.07034189718846237,0.011239966935764728,0.7812981691340215,0.07364656244005476,0.012936781201480585,0.7432388262530736
32,0.14561080932617188,5.54011344909668,0.07529750723064212,0.011712195337246337,0.7721097776929113,0.07901326290198735,0.013600857554477739,0.7300586525145232
33,0.1825122833251953,5.722625732421875,0.06724006571819459,0.011146110459900136,0.7831243829678809,0.07004901851926532,0.01244830380960187,0.7529338212084851
34,0.16954684257507324,5.892172574996948,0.06620802850908032,0.010395945043444736,0.7977207381857152,0.0701732005391802,0.012053651802714732,0.7607666283752573
35,0.1685492992401123,6.0607218742370605,0.06578731209972398,0.010191444644229046,0.8016998078730988,0.06964566494737352,0.01179597468711557,0.7658808432343129
36,0.1685490608215332,6.229270935058594,0.06307426365939053,0.009964825384733254,0.8061092556272127,0.0659163351569857,0.011256001236158905,0.7765978998885559
37,0.17054510116577148,6.399816036224365,0.06212142505162519,0.009557749994952134,0.8140299313333246,0.06520675889083317,0.010842625717162439,0.784802319659034
38,0.16954565048217773,6.569361686706543,0.06416642264353359,0.009533243099865637,0.8145067746243135,0.06762805708817073,0.010851358730549826,0.7846289922499381
39,0.1695692539215088,6.738930940628052,0.059890489322417896,0.009121194175712924,0.8225242229525478,0.0633592950446265,0.010152126040316744,0.798506927067752
40,0.19148802757263184,6.930418968200684,0.06020845045098249,0.008925227552519885,0.8263372465607017,0.06407600556101117,0.009971844636569926,0.8020850400550442
41,0.1655290126800537,7.095947980880737,0.05814909458871037,0.008709419029068443,0.8305363442506721,0.06173799591405051,0.009552729857628707,0.81040336908138
42,0.17553091049194336,7.271478891372681,0.05927048880723478,0.008528343066438704,0.8340596326001186,0.06299824459212167,0.009447257793809578,0.8124967128955748
43,0.1765279769897461,7.448006868362427,0.05696091452938256,0.00818849907871069,0.8406721522587324,0.060545250347682406,0.008995482496180176,0.8214632675495188
44,0.15558457374572754,7.603591442108154,0.057164019728204354,0.008241200762042246,0.8396467084384613,0.0606202917439597,0.008897772382209521,0.8234025570187711
45,0.1765275001525879,7.780118942260742,0.05822511778147849,0.008380947501461816,0.8369275840902071,0.06146579299654279,0.008883159904872531,0.8236925763654666
46,0.17553114891052246,7.955650091171265,0.05498628730034864,0.007661748986877164,0.8509214003349213,0.05868350906031472,0.008247756460179343,0.8363036680830565
47,0.17553091049194336,8.131181001663208,0.054748144448247646,0.007496722744040659,0.854132401012729,0.05848051267010825,0.008087015009004465,0.8394939642649786
48,0.17553043365478516,8.306711435317993,0.05400166170430077,0.007356728529959095,0.8568563406030547,0.057692097766058784,0.007872985117120581,0.8437418962197019
49,0.16954660415649414,8.476258039474487,0.05541561619890784,0.007294948831122197,0.8580584200507253,0.05880359155791146,0.007886644421008018,0.8434707948658116
50,0.1685495376586914,8.644807577133179,0.055413369094916856,0.0072054301771784296,0.8598002306473262,0.058976582544190546,0.007788997466281903,0.8454088307897261
51,0.17151260375976562,8.816320180892944,0.05852276436795776,0.007438631338774144,0.8552627154310872,0.06186587086745671,0.008082789774220344,0.8395778240926768
52,0.14960002899169922,8.965920209884644,0.05518841558703722,0.0070431575627418405,0.8629576525578628,0.058504775592259,0.007659697875124038,0.8479750885221279
53,0.14860296249389648,9.11452317237854,0.05235874556926608,0.0067893212893037095,0.8678966757826087,0.05573367731911796,0.007323129927523959,0.8546550794662044
54,0.1685497760772705,9.28307294845581,0.05195626317122299,0.0067326406235198475,0.8689995407156175,0.05543284756796701,0.007257411483606851,0.8559594181988598
55,0.16853022575378418,9.451603174209595,0.05334600386072378,0.006952484636429258,0.8647219224269707,0.05689648517540523,0.007374237226334656,0.8536407336389621
56,0.16057085990905762,9.612174034118652,0.055552161610428516,0.007270834684916294,0.8585276214242826,0.0587052937064852,0.007612303040692174,0.8489157516692231
57,0.15358924865722656,9.765763282775879,0.05155726154230746,0.0065103810465769844,0.873324159878885,0.05530654149396079,0.007043272562956154,0.8602095140886226
58,0.21143484115600586,9.977198123931885,0.05407556123065522,0.006661884609996424,0.870376276945429,0.0577330333845956,0.007283192271243064,0.8554477371871382
59,0.18849611282348633,10.165694236755371,0.05096727853027435,0.006396527612713677,0.8755394648329462,0.0547246903181076,0.006936450556058661,0.8623296507320299
60,0.17054533958435059,10.336239576339722,0.05061602571149164,0.006323551424451202,0.8769594001471543,0.054379878725324356,0.006862159888278744,0.8638041256234682
61,0.15056395530700684,10.486803531646729,0.054091607120815226,0.006883859072776084,0.866057205395411,0.057693264314106533,0.007295333040540949,0.855206774761743
62,0.18849635124206543,10.675299882888794,0.05034024228637513,0.006227887709581507,0.8788207783619666,0.05409672898905618,0.006780830039133942,0.8654183098012674
63,0.18849587440490723,10.863795757293701,0.05363725933694626,0.006392264611348471,0.8756224122480839,0.057070837702069964,0.007026750750517456,0.8605374287289119
64,0.18849682807922363,11.052292585372925,0.0517477422108771,0.006207313656237696,0.8792210983237904,0.055413767269679476,0.006838635677310582,0.8642710195073167
65,0.1874985694885254,11.23979115486145,0.05459848118254751,0.006464485565076527,0.874217171921535,0.058116195031574794,0.0071464064669127325,0.8581625766147196
66,0.18849682807922363,11.428287982940674,0.05197913763953037,0.006186347631732883,0.8796290450705547,0.05581837339060647,0.006857034657934844,0.863905848002345
67,0.21342825889587402,11.641716241836548,0.04935236844149503,0.006008874861418712,0.8830822242496734,0.05349753754479544,0.006622695805243138,0.8685568595588167
68,0.18051767349243164,11.82223391532898,0.05026122646075958,0.0061257824549785025,0.8808074929359802,0.054308686086109705,0.006696479157730957,0.8670924535452413
