epoch,epoch_times,cumulative_times,mae_train,mse_train,r2_train,mae_val,mse_val,r2_val
0,0.3510611057281494,0.3510611057281494,0.18601919783920537,0.06109325796402487,-0.18872301374707812,0.17877562642097472,0.058812679324761676,-0.16727741927792228
1,0.4048900604248047,0.7559511661529541,0.17781108090134917,0.05084001141262202,0.010779689946552984,0.17641855307987758,0.050289695749870994,0.001881448946907005
2,0.38197875022888184,1.137929916381836,0.18079129395293053,0.05168316300259732,-0.005625945183779679,0.18008796742984226,0.05135203565298322,-0.01920321161843286
3,0.3590400218963623,1.4969699382781982,0.16891423160024266,0.0494720881342753,0.03739607833704672,0.16447310277393887,0.04815851607734812,0.04417977537449935
4,0.4028947353363037,1.899864673614502,0.16306264361397166,0.04596161595392781,0.10570114519655549,0.1597098571913583,0.04495362770095304,0.10778840324221839
5,0.40392017364501953,2.3037848472595215,0.15498317435672493,0.04012959763155922,0.21917773209713465,0.1541467683655875,0.039712221289518165,0.2118165723304195
6,0.3231077194213867,2.626892566680908,0.11286067287541715,0.02566345377446182,0.5006529504139203,0.10979312828608921,0.024864107661945564,0.5065126813213445
7,0.3425891399383545,2.9694817066192627,0.11948614084951568,0.022784289416594487,0.5566743355325958,0.1163819181067603,0.02112149045638755,0.580793815988331
8,0.3565680980682373,3.3260498046875,0.09814400601848938,0.016771869534847023,0.6736610885709149,0.09602617493697575,0.015461994494450286,0.6931199660075253
9,0.35704517364501953,3.6830949783325195,0.07262632274769813,0.011624819097043222,0.7738099022409473,0.072829897914614,0.01123060440951146,0.7771019602817778
10,0.3530557155609131,4.036150693893433,0.06882481326289397,0.01032776552254039,0.7990473422704567,0.07126445642539433,0.010125734695915765,0.7990307260297672
11,0.3779573440551758,4.414108037948608,0.0714100898822267,0.01020864177957154,0.8013651943456259,0.07241772753851754,0.009668872074544156,0.8080982507159733
12,0.3749966621398926,4.789104700088501,0.06937194659351059,0.009476733376528608,0.8156063134420135,0.06952185588223593,0.00891368967789055,0.8230866404504774
13,0.33011889457702637,5.119223594665527,0.0640921804482109,0.00870251765853216,0.8306706277748493,0.06534943495477949,0.008508749199639811,0.8311236467872161
14,0.3859682083129883,5.505191802978516,0.06095031384384224,0.007961573628049712,0.8450875577321886,0.06111441382340022,0.00757478484978701,0.8496603893486923
15,0.35006284713745117,5.855254650115967,0.061961020655852315,0.00807581939030226,0.8428646190424128,0.061741601995059424,0.007772564527750145,0.8457349815160784
16,0.38297605514526367,6.2382307052612305,0.05542065752600771,0.007019171209383917,0.8634243674001001,0.0550776869058609,0.006675667941620641,0.8675055015973313
17,0.3530559539794922,6.591286659240723,0.05623031849299742,0.006921303170684678,0.8653286362799915,0.05546472413199288,0.00658156368689455,0.8693732242187269
18,0.3869655132293701,6.978252172470093,0.05568845090851876,0.006796517641361429,0.8677566526509061,0.05417245711599077,0.00639288450928035,0.8731180109899743
19,0.3749973773956299,7.353249549865723,0.05695062948587932,0.006885398447819888,0.8660272529816367,0.0550894809620721,0.00646010516750865,0.8717838572435413
20,0.34906697273254395,7.702316522598267,0.050925480093579355,0.006019965900919425,0.8828664201766834,0.04928106069564819,0.005733420112210703,0.8862066495004975
21,0.3390650749206543,8.041381597518921,0.05245505253355478,0.006097177798500984,0.881364068482748,0.05075502267905644,0.005852680401952069,0.8838396455681835
22,0.3181493282318115,8.359530925750732,0.05294027840149562,0.006209090036601834,0.8791865343753222,0.05126042195728847,0.006011568592594025,0.8806861317467481
23,0.3181495666503906,8.677680492401123,0.051019257689019784,0.005902687814205385,0.885148360366668,0.04971921188490731,0.00584392055858558,0.8840135054819896
24,0.33612537384033203,9.013805866241455,0.04994552366424424,0.0056982596984703,0.8891260235971072,0.04865126354353769,0.005699172466056471,0.8868863754452808
25,0.3231363296508789,9.336942195892334,0.05037285475013153,0.005618228634782778,0.8906832292592449,0.04924162115369524,0.005659051245422729,0.8876826764371303
26,0.32213878631591797,9.659080982208252,0.04794542473225942,0.005244529060853227,0.897954494511118,0.04696918896266392,0.005346534638106196,0.8938853113631052
27,0.386965274810791,10.046046257019043,0.05300682845307533,0.0057718203941829116,0.8876947152201285,0.05221783987113408,0.005844111108086837,0.8840097235741999
28,0.35508108139038086,10.401127338409424,0.049034063222688995,0.005366407152927722,0.8955830496455348,0.04751214810780117,0.005415673535297774,0.8925130856047809
29,0.3510873317718506,10.752214670181274,0.049625241170164015,0.005476534902684157,0.8934402372477291,0.04917460509708949,0.0055145889484163844,0.8905498741089345
30,0.3231360912322998,11.075350761413574,0.05025294583884863,0.005687014208209892,0.8893448328981481,0.049396624309676035,0.005666252180224112,0.8875397567693333
31,0.3280947208404541,11.403445482254028,0.04780314249359904,0.0051861805162711685,0.8990898122216939,0.047072782686778475,0.0052660491723697436,0.8954827367450615
32,0.32413315773010254,11.72757863998413,0.04986926318991557,0.0052803908789574245,0.897256712629517,0.04993529873234885,0.005418064972416253,0.8924656218507049
33,0.3231358528137207,12.050714492797852,0.04871007802767121,0.005210679376521704,0.8986131252686502,0.04866132140159607,0.005398923249187249,0.892845534848171
34,0.41489076614379883,12.46560525894165,0.04699740829126668,0.004924673818487631,0.9041780828470278,0.04783348313399723,0.005219499036688648,0.8964066348375939
35,0.35804271697998047,12.82364797592163,0.04782651966623684,0.00506927479056496,0.9013645071915972,0.04896147208554404,0.005407936605017381,0.8926666433769233
36,0.3450775146484375,13.168725490570068,0.04991537995203419,0.0054729772626657515,0.8935094600835287,0.0504659788949149,0.005831464960791826,0.8842607164272345
37,0.33510398864746094,13.50382947921753,0.045169629283171656,0.004507552195682029,0.9122942332879247,0.047204517892428806,0.0050333014714684255,0.9001021681120759
