estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
Ridge,0.5804019520774234,0.0006349788385625776,0.5098997381644889,0.004280596655611481,-0.8210560330397562,0.00842902934237812,-0.8856325483452183,0.013734957366181777,-1.0333656252975276,0.0114526171300358,-1.1158347094773848,0.021739901044853623,"{'alpha': 0.1, 'fit_intercept': True}",0.0023272037506103516,0.0016621748606363933,magpie,Egap
ExtraTreesRegressor,0.9929865253409426,0.003779772833946994,0.5591561591296524,0.021199293753769975,-0.018017800805110624,0.006001427657473947,-0.8258004894726391,0.03802752843641489,-0.12676150278308138,0.043311742845826534,-1.0586516498089669,0.04942894661056411,"{'max_features': 'sqrt', 'n_estimators': 256}",0.40894373257954914,0.021276473999023438,magpie,Egap
RandomForestRegressor,0.9341758769373493,0.00406395953364965,0.5494254914736493,0.02250806583328053,-0.31623137597256357,0.008130057299614642,-0.8406173306425941,0.04286437756391709,-0.4091638242482496,0.015598996790517867,-1.0702277648637748,0.050034493681008145,"{'max_features': 'sqrt', 'n_estimators': 2048}",4.810365756352742,0.1499309539794922,magpie,Egap
AdaBoostRegressor,0.6037211045757499,0.009119452811542857,0.4817843954839107,0.025417087573626738,-0.820862648610225,0.01127743967366872,-0.9156166664569775,0.04639064857791957,-1.0040865290678787,0.008820190136466429,-1.1478143573032202,0.05450001798770333,"{'learning_rate': 0.01, 'n_estimators': 512}",3.2867430051167807,0.049201647440592446,magpie,Egap
GradientBoostingRegressor,0.9200820503846344,0.0013536374417259045,0.535829541111882,0.02033720318658328,-0.35594804968073945,0.0034668191953619136,-0.8373737987138793,0.029127716799957418,-0.4509808516225606,0.007253277898531128,-1.0857348487428553,0.03418268460856172,"{'learning_rate': 0.01, 'n_estimators': 2048}",13.799736102422079,0.007637500762939453,magpie,Egap
KNeighborsRegressor,0.986127008425183,0.007722450716220207,0.1177842970683239,0.023883343362415054,-0.01835041735888812,0.006277761999703377,-1.1125318504132875,0.018296592508014436,-0.17724852379583914,0.06403936069446492,-1.496887600539418,0.032175867552133586,"{'n_neighbors': 1, 'weights': 'uniform'}",0.004978100458780925,0.014627615610758463,magpie,Egap
SVR,0.7311843497074788,0.005582596862423951,0.5559636214899323,0.02629514696266442,-0.5484024234478392,0.012359160737722877,-0.8083353473739922,0.00934678779239936,-0.8269962243633971,0.00612354571303183,-1.0611857684330286,0.020959208411543844,"{'C': 100, 'gamma': 0.1}",0.060504913330078125,0.012300570805867514,magpie,Egap
