estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
Ridge,0.34785072007416656,0.03113183541605661,0.2799891476229428,0.035622484603954084,-3.9436033179943393,0.36722176420707303,-4.179729565844237,0.42865571384339457,-9.102154685514277,0.6423711078145377,-9.478480387398555,1.7913201044085527,"{'alpha': 10.0, 'fit_intercept': True}",0.02028004328409831,0.0026592413584391275,mat2vec,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9796590567697786,0.007002193106327097,0.30074851914151884,0.04878831328944658,-0.2701917410522207,0.05861429326458147,-4.19190392929539,0.4210656282089806,-1.6017559725273187,0.40287327206077606,-9.334067581882577,1.7469138697995563,"{'max_features': 'sqrt', 'n_estimators': 512}",1.6519171396891277,0.045544703801472984,mat2vec,agl_thermal_conductivity_300K
RandomForestRegressor,0.8934357399801257,0.009850170276358039,0.2812304693821914,0.015037476457197212,-1.6392261795492462,0.10917151179472179,-4.269834033682869,0.4591304710107882,-3.6718190219588656,0.22839542570292667,-9.461078888411372,1.7423507241745428,"{'max_features': 'sqrt', 'n_estimators': 1024}",7.2349371910095215,0.08610343933105469,mat2vec,agl_thermal_conductivity_300K
AdaBoostRegressor,0.5918205483398787,0.08420288199108417,0.06240320916118525,0.03231219446176148,-4.138759171027298,0.46195356140460664,-4.884479672758443,0.35885572979034996,-7.174263736286483,0.8905625262044222,-10.759201361877112,1.753745610204489,"{'learning_rate': 0.001, 'n_estimators': 16}",0.9780519803365072,0.006649096806844075,mat2vec,agl_thermal_conductivity_300K
GradientBoostingRegressor,0.9665252977936198,0.005374843859960275,0.18242213247047703,0.15871585946497418,-1.235785166429442,0.05143816546538709,-4.096984992198897,0.4204698932600507,-2.0667626059076922,0.29343620176228397,-9.86840540197158,0.9315336989954736,"{'learning_rate': 0.1, 'n_estimators': 128}",7.872363646825154,0.0023272832234700522,mat2vec,agl_thermal_conductivity_300K
KNeighborsRegressor,0.9578591389455281,0.015055973126978648,-0.46806804446305356,0.8756255584616408,-0.28134551166984073,0.06885020498107386,-4.908710266941792,0.5788313789577123,-2.304993782536418,0.6065344364268133,-12.342974965381183,1.5017485833691113,"{'n_neighbors': 1, 'weights': 'uniform'}",0.037224531173706055,0.15392184257507324,mat2vec,agl_thermal_conductivity_300K
SVR,0.4610480781376662,0.04456118998035991,0.2794620425709441,0.04858433549932832,-1.544424231084393,0.2128388162229921,-3.592342521438948,0.5655347068398219,-8.27987308862744,0.7824671188177598,-9.506299886161306,1.9414877016011018,"{'C': 10, 'gamma': 1}",0.2606371243794759,0.12333488464355469,mat2vec,agl_thermal_conductivity_300K
