estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
Ridge,0.8328843143740339,0.016841613206771133,0.08943813196317314,0.2123050679676201,-2.3742866459781236,0.042084843267353386,-5.27521431345345,0.448349285428216,-3.7266053880804635,0.17521262995100598,-8.571024821516984,0.8492557308584288,"{'alpha': 0.001, 'fit_intercept': True}",0.04251853624979655,0.00365598996480306,jarvis,agl_thermal_conductivity_300K
Ridge,0.7422593854300651,0.023233643604233797,0.28171179591548173,0.13831793617187046,-2.8358004749837775,0.0778193223929979,-4.43133883871666,0.2532224230634451,-4.626883633491634,0.09471920990960503,-7.623014754214155,0.5141755488455528,"{'alpha': 0.01, 'fit_intercept': True}",0.04154523213704427,0.003657102584838867,jarvis,agl_thermal_conductivity_300K
Ridge,0.6309234100220947,0.036786838765662425,0.37587792440797313,0.08039284283799573,-3.1894630644721302,0.11187402122509713,-3.9837211812853632,0.1382887500892987,-5.533698885575248,0.04978534358820212,-7.13317368570686,0.39619038781659055,"{'alpha': 0.1, 'fit_intercept': True}",0.0405584971110026,0.003656466801961263,jarvis,agl_thermal_conductivity_300K
Ridge,0.5146413037055201,0.022428558261516962,0.39693164740078,0.0025621309179280935,-3.5197322319488205,0.1391737763900812,-3.9351406593950227,0.12225619159563418,-6.360777097541534,0.19636789684996567,-7.0646053700725355,0.7176606078890579,"{'alpha': 1.0, 'fit_intercept': True}",0.040890773137410484,0.003989299138387044,jarvis,agl_thermal_conductivity_300K
Ridge,0.38894823008699425,0.0030682582660849136,0.3459592843524417,0.03159022063364767,-3.763150869495211,0.19354139738933188,-3.938396787428091,0.2263179186779809,-7.148104446682436,0.3892911664565071,-7.371866550547684,0.921190452864337,"{'alpha': 10.0, 'fit_intercept': True}",0.04122320810953776,0.0036570231119791665,jarvis,agl_thermal_conductivity_300K
Ridge,0.19234919080161886,0.006454122093606355,0.1818587120196835,0.029151938834895107,-4.513552713505637,0.234396941791058,-4.562436423176021,0.2572391068092372,-8.218808967809125,0.4638701971750186,-8.241636413929072,0.9854220358383259,"{'alpha': 100.0, 'fit_intercept': True}",0.043217738469441734,0.003656784693400065,jarvis,agl_thermal_conductivity_300K
Ridge,0.03410096173284342,0.0017563683939775887,0.02646878630476716,0.007810015843193626,-5.241794108576509,0.2602178783813333,-5.26464137117584,0.23424696752072757,-8.986779967818896,0.483137061914097,-8.97895626774676,0.9453186646983873,"{'alpha': 1000.0, 'fit_intercept': True}",0.04288530349731445,0.0036567052205403647,jarvis,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9506724911843647,0.023342636292270957,0.25355750004097277,0.1928731006887969,-0.3504570953262555,0.04305217610585045,-4.059794694478786,0.23142376312562657,-1.9537497542321276,0.5084732252069328,-7.747426216142951,0.8626947328375999,"{'max_features': 'sqrt', 'n_estimators': 16}",0.13530532519022623,0.006981690724690755,jarvis,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9506724911844603,0.02334263629217491,0.27814275922180337,0.20211915317041612,-0.3504570421862865,0.043052025027507816,-3.9466886357331816,0.24238869598109156,-1.9537497542304851,0.5084732252052415,-7.605460809386449,0.9117094091264527,"{'max_features': 'sqrt', 'n_estimators': 32}",0.2250648339589437,0.006649096806844075,jarvis,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9506724911844211,0.02334263629222523,0.26432989950736424,0.19727957006103505,-0.3504570860480598,0.04305206704864793,-3.9673128790085994,0.25260577538208634,-1.9537497542312379,0.5084732252060776,-7.690097835849323,0.9425077115697297,"{'max_features': 'sqrt', 'n_estimators': 64}",0.3613669077555339,0.009308656056722006,jarvis,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9506724911844424,0.023342636292219866,0.2617170576010143,0.21881221859068467,-0.3504570702283621,0.0430521145360933,-3.95702907617555,0.20773190193594232,-1.9537497542307485,0.5084732252061178,-7.680189471735119,0.9664302176135874,"{'max_features': 'sqrt', 'n_estimators': 128}",0.6801814238230387,0.014960050582885742,jarvis,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9506724911844199,0.02334263629223055,0.2809122062040824,0.20447464506613186,-0.350457063763357,0.04305208642006816,-3.9274597616003617,0.22291200347275997,-1.9537497542311517,0.5084732252062705,-7.588383251069409,0.9267977506699794,"{'max_features': 'sqrt', 'n_estimators': 256}",1.334792931874593,0.026595671971638996,jarvis,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9506724911844414,0.023342636292201412,0.27424578342156153,0.20862951716493727,-0.3504570734107773,0.04305207646305889,-3.933171295540273,0.22230015753445562,-1.9537497542308166,0.5084732252057149,-7.62218488192097,0.9493826344136518,"{'max_features': 'sqrt', 'n_estimators': 512}",2.6668986479441323,0.049866676330566406,jarvis,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9506724911844223,0.023342636292217552,0.2783495115035012,0.2014500435315159,-0.3504570908521761,0.04305208758693616,-3.9227884845475143,0.22694170523919718,-1.9537497542311268,0.5084732252060095,-7.607699805137078,0.9427821425083864,"{'max_features': 'sqrt', 'n_estimators': 1024}",5.23634394009908,0.09474658966064453,jarvis,agl_thermal_conductivity_300K
