estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
Ridge,0.9003625816265951,0.005694995987470548,0.8394011542917134,0.020198031017733268,-0.050668741532954344,0.0013828770923257547,-0.06267646644388873,0.0023889124333484665,-0.07075513677579622,0.0015025481013933354,-0.08953902858205494,0.0036679148931671648,"{'alpha': 0.1, 'fit_intercept': True}",0.05984036127726237,0.0046541690826416016,jarvis,agl_log10_thermal_expansion_300K
ExtraTreesRegressor,0.9953321112694243,0.0017949790272745836,0.8295154326255113,0.02075087554361491,-0.0026498414953759868,0.0004543871501755749,-0.06338780912210513,0.0035994558198559645,-0.015002412263060413,0.0033869803831186366,-0.09245888983989452,0.0067428320945752355,"{'max_features': 'sqrt', 'n_estimators': 512}",3.68182373046875,0.06815083821614583,jarvis,agl_log10_thermal_expansion_300K
RandomForestRegressor,0.9715139281770299,0.0003209031121200242,0.8229590664474841,0.021915159723240422,-0.02536329154705513,0.00048559026808231594,-0.06520494907046474,0.003679858296345676,-0.03785806270046132,0.0006324002341602261,-0.09422497732172287,0.007068301744628628,"{'max_features': 'sqrt', 'n_estimators': 2048}",19.499520142873127,0.19481285413106283,jarvis,agl_log10_thermal_expansion_300K
AdaBoostRegressor,0.8514718511223339,0.0020322672742316503,0.7642607571961145,0.006697374957710403,-0.06979621536655004,0.001136766589883518,-0.08066189966162803,0.000716551925570828,-0.08643631024726639,0.0007530998692676283,-0.10884371441405731,0.0028488040713331116,"{'learning_rate': 0.1, 'n_estimators': 128}",19.865951855977375,0.20046416918436685,jarvis,agl_log10_thermal_expansion_300K
GradientBoostingRegressor,0.990609685586097,0.0013091797245293694,0.847760661289812,0.011434780110983103,-0.014542941493604045,0.0003630847106142327,-0.061351513940325154,0.0016413599447396236,-0.02168940629940283,0.0016839006485247206,-0.08737133526059514,0.0027681781579027022,"{'learning_rate': 0.1, 'n_estimators': 256}",49.95356321334839,0.0056514739990234375,jarvis,agl_log10_thermal_expansion_300K
KNeighborsRegressor,0.9906389990821386,0.003605977589667856,0.6627939403802405,0.048780841194816855,-0.0026682619652043335,0.00044616673640403385,-0.08816322247179813,0.00416737926736855,-0.02124262256832482,0.004804890626770461,-0.12979391955109443,0.009543254833650096,"{'n_neighbors': 1, 'weights': 'uniform'}",0.08211334546407063,0.3138289451599121,jarvis,agl_log10_thermal_expansion_300K
SVR,0.8978656289896335,0.003527915676725764,0.8161548568103424,0.017333796719932352,-0.05936787718188844,0.0010272597952491853,-0.06991518821414067,0.0015029948457396937,-0.07166288800467552,0.0009725231251018667,-0.09592112699864781,0.0023544800722895267,"{'C': 10, 'gamma': 0.1}",0.17220584551493326,0.06150237719217936,jarvis,agl_log10_thermal_expansion_300K
