id,model_type,num_network_params,elem_prop,mat_prop,epochs,fit_time,mae_train,mse_train,r2_train,mae_val,mse_val,r2_val,rng_seed
2020-02-17-204328.505685-seed9-CrabNet-element-ael_shear_modulus_vrh,CrabNet,62605,element,ael_shear_modulus_vrh,1001,427.4735777378082,5.705881253279216,57.31276350584396,0.9680682254902638,11.777625515180475,321.72717456161286,0.8009152206730918,9
2020-02-17-205040.305741-seed9-CrabNet-element-energy_atom,CrabNet,62605,element,energy_atom,1001,1261.8105370998383,0.11540167880331886,0.034738311141695496,0.9881891079325483,0.13701664922052295,0.058175991403293645,0.9807244653522666,9
2020-02-17-211143.571435-seed9-CrabNet-element-agl_log10_thermal_expansion_300K,CrabNet,62605,element,agl_log10_thermal_expansion_300K,1001,426.1320331096649,0.01868320818984917,0.0007059944445308689,0.986263102153013,0.033618236439568655,0.003706788627069508,0.9264299686378558,9
2020-02-17-211851.228475-seed9-CrabNet-element-agl_thermal_conductivity_300K,CrabNet,62605,element,agl_thermal_conductivity_300K,1001,424.88867115974426,1.503581655256842,39.2835566993068,0.6383948066982201,2.338024395518005,37.819648442552726,0.6483019455514767,9
2020-02-17-212558.848456-seed9-CrabNet-element-Egap,CrabNet,62605,element,Egap,1001,717.3686580657959,0.37862917298146925,0.2737042399295934,0.8896917295924636,0.5093969125662892,0.5362873799799794,0.7782844600383582,9
2020-02-17-213757.678890-seed9-CrabNet-element-ael_debye_temperature,CrabNet,62605,element,ael_debye_temperature,1001,408.7901201248169,19.564346541473633,1109.0707600578246,0.9700035868318873,43.23308559152532,5202.799605148387,0.8251463490215394,9
2020-02-17-214447.852346-seed9-CrabNet-element-ael_bulk_modulus_vrh,CrabNet,62605,element,ael_bulk_modulus_vrh,1001,454.953311920166,5.723790127501543,62.45893629239989,0.9865601018945497,11.656110303074707,349.97072541098635,0.9214150707668849,9
2020-02-17-215224.579479-seed9-DenseNet-element-ael_shear_modulus_vrh,DenseNet,71937,element,ael_shear_modulus_vrh,1001,221.8600971698761,11.231959415924821,303.2458313482968,0.8310467526723966,13.995993256675156,517.8640559984183,0.6795457161793507,9
2020-02-17-215611.461253-seed9-DenseNet-element-energy_atom,DenseNet,71937,element,energy_atom,1001,1028.0125999450684,0.22382788247094662,0.1167760765326946,0.960296583493586,0.24781704623691528,0.14096747775135593,0.9532930434693716,9
2020-02-17-221320.920985-seed9-DenseNet-element-agl_log10_thermal_expansion_300K,DenseNet,71937,element,agl_log10_thermal_expansion_300K,1001,200.10700154304504,0.03770778445657426,0.003585725076907011,0.9302306987393054,0.04355412338461195,0.0048520069669616,0.9037003884920969,9
2020-02-17-221642.335527-seed9-DenseNet-element-agl_thermal_conductivity_300K,DenseNet,71937,element,agl_thermal_conductivity_300K,1001,214.1634612083435,2.3629910381407067,46.88866906834388,0.5683897369094161,2.6394905220584146,49.19669768209542,0.5425028107713086,9
2020-02-17-222019.911934-seed9-DenseNet-element-Egap,DenseNet,71937,element,Egap,1001,552.2205154895782,0.6605774365593853,0.7512166267078884,0.6972447090521978,0.7602132945525995,0.9729152534617178,0.5977708243549656,9
2020-02-17-222933.963619-seed9-DenseNet-element-ael_debye_temperature,DenseNet,71937,element,ael_debye_temperature,1001,223.8569905757904,39.77761083779291,5750.406814123587,0.8444719806045662,46.222656861983516,6476.6378090420085,0.7823356936800885,9
2020-02-17-223319.471701-seed9-DenseNet-element-ael_bulk_modulus_vrh,DenseNet,71937,element,ael_bulk_modulus_vrh,1001,225.69717526435852,13.249627962801522,417.7086980780119,0.9101175480535373,17.486045111734388,678.705662579604,0.8475985772772915,9
